Video Number,Video Title,Video Duration,Video URL,Watched,Watch again later,Notes
145,Drake - Texts Go Green (Official Audio),5:09,https://www.youtube.com/watch?v=kFXHPfI2JoI,,,
144,Drake - Massive,5:38,https://www.youtube.com/watch?v=ay1l_u6vltY,,,
143,Drake - Liability,3:59,https://www.youtube.com/watch?v=34OkVPaFe4o,,,
142,Drake - Sticky,4:04,https://www.youtube.com/watch?v=H_AE7YSJSWU,,,
141,Drake - Overdrive,3:23,https://www.youtube.com/watch?v=p53kGYHvDn0,,,
140,Drake - Falling Back (Official Audio),4:27,https://www.youtube.com/watch?v=fCtmgdpjpcw,,,
139,Drake - Down Hill,4:12,https://www.youtube.com/watch?v=oezuRcSv4i8,,,
138,Drake - A Keeper (Official Audio),2:54,https://www.youtube.com/watch?v=RaskP_FC9VA,,,
137,Drake - Jimmy Cooks ft. 21 Savage,3:39,https://www.youtube.com/watch?v=V7UgPHjN9qE,,,
136,Drake - Calling My Name (Official Audio),2:11,https://www.youtube.com/watch?v=fhumS5MsRyE,,,
135,Drake - Currents,2:38,https://www.youtube.com/watch?v=1puG2H1QOBA,,,
134,Drake - Intro,0:38,https://www.youtube.com/watch?v=n8c_g2nyNmw,,,
133,Drake - Falling Back (Extended Version),9:34,https://www.youtube.com/watch?v=sOreUnGoIMg,,,
132,"Drake - Knife Talk (Official Video) ft. 21 Savage, Project Pat",4:05,https://www.youtube.com/watch?v=XqpQpt_cmhE,,,
131,Drake - Fair Trade (Audio) ft. Travis Scott,4:52,https://www.youtube.com/watch?v=THVbtGqEO1o,,,
130,Drake - TSU (Audio),5:10,https://www.youtube.com/watch?v=fhEqtynX_xc,,,
129,Drake - Love All (Audio) ft. JAY-Z,3:49,https://www.youtube.com/watch?v=Pnz4wbCblmM,,,
128,Drake - No Friends In The Industry,3:25,https://www.youtube.com/watch?v=_dSN9EaQotw,,,
127,Drake - Get Along Better (Audio) ft. Ty Dolla $ign,3:50,https://www.youtube.com/watch?v=84y-jaEiFZU,,,
126,"Drake - In The Bible (Audio) ft. Lil Durk, Giveon",4:57,https://www.youtube.com/watch?v=eEdVtJW_PwE,,,
125,Drake - N 2 Deep (Audio) ft. Future,4:34,https://www.youtube.com/watch?v=Oh-Al70frOc,,,
124,Drake - Fountains (Audio) ft. Tems,3:13,https://www.youtube.com/watch?v=pwtWYFUwenE,,,
123,"Drake - Knife Talk (Audio) ft. 21 Savage, Project Pat",4:04,https://www.youtube.com/watch?v=3HFY0xuHybk,,,
122,Drake - The Remorse (Audio),5:52,https://www.youtube.com/watch?v=2_TPmfd02xc,,,
121,Drake - Girls Want Girls (Audio) ft. Lil Baby,3:43,https://www.youtube.com/watch?v=b8M6N0FTpNc,,,
120,Drake - 7am On Bridle Path (Audio),4:00,https://www.youtube.com/watch?v=L6W1_fUurpA,,,
119,"Drake - Way 2 Sexy (Audio) ft. Future, Young Thug",4:18,https://www.youtube.com/watch?v=Qr2PWFDB4ZU,,,
118,Drake - Fucking Fans (Audio),4:06,https://www.youtube.com/watch?v=EK8aKKeUmmU,,,
117,"Drake - You Only Live Twice (Audio) ft. Lil Wayne, Rick Ross",3:34,https://www.youtube.com/watch?v=x6Nr6EX3AwY,,,
116,Drake - Race My Mind (Audio),4:31,https://www.youtube.com/watch?v=bpXztWUPPFQ,,,
115,Drake - IMY2 (Audio) ft. Kid Cudi,4:13,https://www.youtube.com/watch?v=3aYA2dK2L-U,,,
114,Drake - Papi’s Home (Audio),2:59,https://www.youtube.com/watch?v=RJDZBozre1g,,,
113,Drake - Champagne Poetry (Audio),5:37,https://www.youtube.com/watch?v=IxVuT8cgccM,,,
112,Drake - Pipe Down (Audio),3:27,https://www.youtube.com/watch?v=ZIu-V_xEehs,,,
111,Drake - Yebba’s Heartbreak (Audio),2:15,https://www.youtube.com/watch?v=9rlW2rUzyn0,,,
110,Drake ft. Future and Young Thug - Way 2 Sexy (Official Video),4:41,https://www.youtube.com/watch?v=vX9msKu75qs,,,
109,Drake - What’s Next (Official Lyric Video),2:59,https://www.youtube.com/watch?v=3jo8E95fDqA,,,
108,Drake - What's Next (Official Music Video),3:21,https://www.youtube.com/watch?v=7EUVJaKJtBY,,,
107,Certified Lover Boy January 2021,1:01,https://www.youtube.com/watch?v=_MYd4tcB4Gw,,,
106,Drake - Laugh Now Cry Later (Official Lyric Video) ft. Lil Durk,4:23,https://www.youtube.com/watch?v=qojvO0E0z_Y,,,
105,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,5:02,https://www.youtube.com/watch?v=JFm7YDVlqnI,,,
104,"Future, Drake, Young Thug - D4L (Audio)",3:11,https://www.youtube.com/watch?v=ldeLy8D_uSE,,,
103,Drake - From Florida With Love (Audio),3:56,https://www.youtube.com/watch?v=8sJlnTMOpGM,,,
102,Drake - Time Flies (Audio),3:14,https://www.youtube.com/watch?v=OjgBxXNP3gw,,,
101,Drake - Pain 1993 (Audio) ft. Playboi Carti,2:31,https://www.youtube.com/watch?v=Q5jnuOCJvK0,,,
100,DARK LANE DEMO TAPES - OUT NOW,0:50,https://www.youtube.com/watch?v=qu17_Y4TSBg,,,
99,"Drake, Giveon - Chicago Freestyle (Audio) ft. Giveon",3:42,https://www.youtube.com/watch?v=p9pf5EyOgcs,,,
